Date,Open,High,Low,Close,Adj Close,Volume
2014-03-18,15.036313,15.281743,14.871024,15.256699,11.330783,19487437
2014-03-19,15.211620,15.457049,15.161532,15.326821,11.382863,15719442
2014-03-20,15.216629,15.717505,15.151515,15.647382,11.620934,20344933
2014-03-21,15.577260,15.972952,15.406962,15.707488,11.665575,25215196
2014-03-24,15.862759,16.273478,15.737540,16.163284,12.004086,21411863
2014-03-25,16.223391,16.423740,15.977961,16.253443,12.071042,20959257
2014-03-26,16.148258,16.624092,16.148258,16.393688,12.175200,23001476
2014-03-27,16.644127,16.919609,16.548960,16.749311,12.439311,38429829
2014-03-28,16.759329,16.829451,16.584023,16.649136,12.364913,25731291
2014-03-31,16.719257,16.999748,16.599049,16.969696,12.602987,21136546
2014-04-01,16.974705,17.180065,16.834459,17.104933,12.709049,22158155
2014-04-02,17.029802,17.705984,16.989733,17.655897,13.118417,29452368
2014-04-03,17.655897,17.685949,17.280239,17.450539,12.965837,19876555
2014-04-04,17.721010,17.816177,17.109941,17.200100,12.779759,22040561
2014-04-07,17.330328,17.615828,17.270222,17.590782,13.070031,26400917
2014-04-08,17.771099,18.166792,17.260204,17.335337,12.880240,38168288
2014-04-09,17.255196,17.320311,16.909592,17.104933,12.709049,28875379
2014-04-10,17.104933,17.355371,17.064863,17.290257,12.846747,18604984
2014-04-11,17.139994,17.731030,17.019785,17.700975,13.151915,22375174
2014-04-14,17.731030,17.761082,17.315302,17.475582,12.984443,13414084
2014-04-15,17.305285,17.375406,16.829451,17.054846,12.671832,20967243
2014-04-16,17.220135,17.425493,17.059855,17.365389,12.902571,18677656
2014-04-17,17.355371,17.831203,17.155022,17.806160,13.230062,20524618
2014-04-22,17.871275,17.981466,17.540695,17.931379,13.323102,24939878
2014-04-23,17.831203,18.056599,17.756073,17.896318,13.297051,18874711
2014-04-24,17.981466,18.337090,17.871275,18.281994,13.583611,19128666
2014-04-25,18.166792,18.512396,18.051590,18.457300,13.713864,24135888
2014-04-28,18.332081,18.457300,18.251940,18.422237,13.687819,15537162
2014-04-29,18.542450,18.692713,18.206861,18.432257,13.695259,37268665
2014-04-30,18.287003,18.507387,18.201853,18.417231,13.684097,20487284
2014-05-02,18.347107,18.943150,18.312046,18.757826,13.942844,41473693
2014-05-05,18.883045,18.983219,18.697721,18.958176,14.091765,19524372
2014-05-06,18.842976,18.842976,18.482344,18.782869,13.961452,25617890
2014-05-07,18.762835,18.983219,18.572500,18.913097,14.058261,17567203
2014-05-08,18.933132,18.953169,18.522413,18.622589,13.842321,11616235
2014-05-09,18.622589,18.672676,18.357124,18.457300,13.719462,16076816
2014-05-12,18.507387,18.812922,18.477335,18.812922,13.983805,10778704
2014-05-13,18.787878,18.812922,18.562485,18.697721,13.898162,13639888
2014-05-14,18.652641,18.822941,18.587528,18.777861,13.957736,13544056
2014-05-15,18.642624,18.742800,18.472326,18.637615,13.853490,10366227
2014-05-16,18.652641,18.888054,18.622589,18.822941,13.991250,11753195
2014-05-19,18.832956,18.863010,18.607563,18.702728,13.901892,15243477
2014-05-20,18.652641,18.898071,18.312046,18.372150,13.656169,17876860
2014-05-21,18.382168,18.587528,17.655897,17.981466,13.365774,24858621
2014-05-22,17.756073,18.482344,17.736038,18.201853,13.529580,24790740
2014-05-23,18.181818,18.256948,17.816177,17.926371,13.324816,18319684
2014-05-26,17.906336,17.986477,17.690960,17.871275,13.283859,7268457
2014-05-27,17.881292,18.347107,17.731030,17.881292,13.291305,24241503
2014-05-28,17.831203,18.317055,17.831203,18.206861,13.533299,23562094
2014-05-29,18.246931,18.352116,17.846230,17.931379,13.328537,11999164
2014-05-30,17.756073,17.886301,17.425493,17.430504,12.956236,19704057
2014-06-02,17.490608,17.675932,17.405458,17.540695,13.043760,10833009
2014-06-03,17.480591,17.655897,17.410467,17.645880,13.121981,13659054
2014-06-04,17.585775,17.595793,17.365389,17.445530,12.972994,22504348
2014-06-05,17.530678,17.645880,17.215126,17.215126,12.801659,29560578
2014-06-06,18.038567,18.413223,17.691460,17.983471,13.373024,32614279
2014-06-09,17.961432,18.716253,17.829201,18.661158,13.876966,25088745
2014-06-10,18.622589,18.853994,18.396694,18.611570,13.840092,25946877
2014-06-11,18.837465,19.085400,18.749311,18.997246,14.126896,24893632
2014-06-13,18.749311,18.986225,18.749311,18.892561,14.049046,19358790
2014-06-16,18.793388,18.865013,18.595041,18.765841,13.954815,13579830
2014-06-17,18.699724,18.732782,18.396694,18.517906,13.770445,9795918
2014-06-18,18.523415,18.826447,18.220385,18.771349,13.958914,22451913
2014-06-20,18.595041,18.710743,18.462809,18.495867,13.754056,11898232
2014-06-23,18.501377,18.573002,18.066114,18.358126,13.651628,12911547
2014-06-24,18.253443,18.595041,18.225895,18.391184,13.676205,12323668
2014-06-25,18.319559,18.402203,17.779613,17.807161,13.241912,17473731
2014-06-26,18.005508,18.005508,17.685949,17.746555,13.196850,18073951
2014-06-27,17.685949,17.900826,17.531679,17.691460,13.155869,10856604
2014-06-30,17.652891,17.790632,17.410467,17.603306,13.090320,12422949
2014-07-01,17.680441,17.823690,17.498623,17.674931,13.149759,7760577
2014-07-02,17.608814,17.663912,17.311295,17.388430,12.936611,14168797
2014-07-03,17.311295,17.564737,17.256199,17.515150,13.030880,13296871
2014-07-04,17.548208,17.559229,17.432507,17.504131,13.022687,2199054
2014-07-07,17.366390,17.625343,17.366390,17.520660,13.034979,7611928
2014-07-08,17.553719,17.674931,17.399448,17.482094,13.006292,7403748
2014-07-10,17.785124,18.308538,17.575756,18.292011,13.608850,35943897
2014-07-11,18.198347,18.424242,18.044077,18.264462,13.588352,15215508
2014-07-14,18.402203,18.809917,18.347107,18.694214,13.908081,19647919
2014-07-15,18.622589,18.980717,18.589531,18.920111,14.076136,13209570
2014-07-16,18.754820,18.842976,18.308538,18.429752,13.711333,26110227
2014-07-17,18.253443,18.672176,18.181818,18.457300,13.731824,17210374
2014-07-18,19.173553,19.509642,18.975206,19.360882,14.404072,34584643
2014-07-21,19.283747,19.713497,19.184572,19.526171,14.527041,17103471
2014-07-22,19.537189,19.636362,19.311295,19.487602,14.498349,13779480
2014-07-23,19.278236,19.553719,19.206612,19.493113,14.502449,11440671
2014-07-24,19.553719,19.856749,19.421488,19.779613,14.715600,22029562
2014-07-25,19.785124,19.928373,19.526171,19.696968,14.654106,16476751
2014-07-28,19.774103,19.774103,19.471073,19.564737,14.555737,11639413
2014-07-29,19.553719,20.027548,19.393938,19.652891,14.621315,18005526
2014-07-30,19.719007,19.823690,19.614325,19.746555,14.690994,13497247
2014-07-31,19.641872,19.685949,19.140495,19.327824,14.379476,21875469
2014-08-01,19.190083,19.388430,19.024794,19.300276,14.365124,19922892
2014-08-04,19.360882,19.614325,19.079889,19.542700,14.545557,18003711
